date,volume,area,solar_exposure,rainfall,max_temperature,min_temperature,humidity,wind_speed
199001,191934441438.61,142230208.33,22.10,22.80,23.81,9.70,37,1.64
199002,186337780373.32,141764479.17,19.40,83.30,23.82,9.71,40,1.26
199003,180741119308.03,141298750.00,16.30,17.60,23.84,9.71,42,1.39
199004,181468639586.96,141408875.00,10.20,159.20,23.85,9.72,46,1.39
199005,182196159865.89,141519000.00,9.10,69.60,23.86,9.72,54,0.94
199006,182923680144.82,141629125.00,7.60,19.60,23.88,9.72,60,1.20
199007,183651200423.75,141739250.00,7.90,61.70,23.89,9.73,58,1.45
199008,184378720702.68,141849375.00,10.00,82.60,23.90,9.73,52,1.70
199009,211144935249.52,143894375.00,15.60,23.60,23.91,9.74,49,1.32
199010,210875262098.08,143877500.00,20.90,62.40,23.93,9.74,47,1.45
199011,201554986856.91,143300937.50,28.10,17.60,23.94,9.75,41,1.45
199012,192234711615.75,142724375.00,27.80,30.80,23.95,9.75,37,1.64
199101,201410162386.70,143291875.00,25.50,64.30,23.96,9.75,37,1.57
199102,210585613157.65,143859375.00,23.40,26.40,23.98,9.76,40,1.39
199103,186808489216.27,142159375.00,21.60,27.20,23.99,9.76,42,1.32
199104,168528342749.93,139055625.00,15.00,28.00,24.00,9.77,46,1.07
199105,180458444396.90,140345156.25,10.80,29.90,24.01,9.77,54,0.82
199106,192388546043.87,141634687.50,6.30,121.80,24.03,9.78,60,1.26
199107,204318647690.83,142924218.75,8.80,128.40,24.04,9.78,58,1.20
199108,216248749337.80,144213750.00,11.40,104.30,24.05,9.78,52,1.89
199109,216448507227.75,144226250.00,15.50,67.40,24.06,9.79,49,1.70
199110,208488155313.15,143728125.00,22.90,18.00,24.08,9.79,47,1.32
199111,200527803398.55,143230000.00,25.90,35.60,24.09,9.80,41,1.51
199112,217137671948.09,144269375.00,23.00,46.50,24.10,9.80,37,1.70
199201,210256012639.23,143838750.00,26.10,150.00,26.90,15.80,37,1.39
199202,210076230538.27,143827500.00,18.80,58.30,24.60,15.40,40,1.39
199203,209896448437.31,143816250.00,17.80,38.00,22.70,10.50,42,1.01
199204,208268421634.20,143714375.00,12.90,32.70,19.50,7.00,46,1.07
199205,194016975278.52,142831875.00,10.00,30.40,17.00,3.70,54,0.82
199206,121370736407.95,129574375.00,7.90,39.90,14.00,0.70,60,0.94
199207,181342387135.28,141407500.00,9.10,14.20,13.80,1.40,58,1.13
199208,179190812505.38,141015937.50,11.60,87.00,13.90,1.00,52,1.45
199209,177039237875.49,140624375.00,14.40,86.50,15.60,3.60,49,1.39
199210,174887663245.59,140232812.50,17.40,74.40,18.90,8.30,47,1.45
199211,172736088615.70,139841250.00,21.30,91.40,19.90,9.40,41,1.32
199212,171868167430.69,139471145.83,23.10,76.80,22.70,12.30,37,1.32
199301,171000246245.68,139101041.67,23.70,105.80,26.70,13.80,37,1.26
199302,170132325060.67,138730937.50,20.80,30.00,24.50,12.30,40,1.45
199303,173481989449.61,139553125.00,16.10,109.00,20.50,9.90,42,1.26
199304,176831653838.56,140375312.50,14.10,12.20,20.40,4.70,46,1.01
199305,180181318227.50,141197500.00,10.50,19.80,16.60,0.80,54,0.82
199306,170478647432.70,139310833.33,8.50,21.20,12.00,-1.10,60,1.07
199307,160775976637.90,137424166.67,8.00,130.00,13.00,1.00,58,0.88
199308,151073305843.09,135537500.00,10.40,19.60,14.00,0.00,52,1.20
199309,136740765191.43,132614375.00,14.30,91.60,15.70,3.20,49,1.39
199310,210300958164.47,143841562.50,20.00,64.60,17.50,5.50,47,1.39
199311,166091653699.64,136719062.50,23.90,96.60,21.10,6.30,41,1.32
199312,176124306122.97,139397656.25,22.40,21.00,24.10,10.70,37,1.64
199401,186156958546.29,142076250.00,28.10,34.90,28.00,9.80,37,1.64
199402,180754941556.94,141301250.00,20.00,84.80,27.10,12.40,40,1.39
199403,180119118107.44,141186250.00,17.00,26.80,19.90,7.40,42,1.13
199404,179483294657.94,141071250.00,12.30,95.60,19.40,5.30,46,1.13
199405,177181890215.74,140655000.00,9.70,5.20,14.10,2.70,54,1.20
199406,176245432852.63,140485625.00,7.20,38.40,11.10,0.10,60,1.01
199407,175308975489.51,140316250.00,10.10,0.00,12.40,-3.20,58,1.01
199408,156281695344.12,136528750.00,14.70,16.80,13.10,-2.50,52,1.13
199409,170510033722.51,139425625.00,17.60,3.60,16.50,-0.70,49,1.64
199410,167093482666.36,138772812.50,20.10,51.30,19.00,3.70,47,1.57
199411,163676931610.21,138120000.00,21.90,65.40,22.40,8.40,41,2.02
199412,160941255668.00,137581875.00,27.60,57.20,26.50,11.10,37,1.64
199501,148767329794.25,135105625.00,21.20,220.80,26.70,13.30,37,1.64
199502,144090640087.18,134158125.00,23.80,12.90,25.50,10.80,40,1.39
199503,139413950380.11,133210625.00,18.20,54.07,21.40,8.90,42,1.51
199504,134737260673.04,132263125.00,15.00,95.23,18.10,3.70,46,1.32
199505,130060570965.97,131315625.00,7.60,136.40,15.40,7.50,54,1.13
199506,125383881258.90,130368125.00,6.40,6.50,11.70,2.90,60,1.39
199507,122966514478.60,129890000.00,8.40,9.85,10.30,-0.20,58,1.39
199508,120549147698.30,129411875.00,14.00,13.20,15.90,0.80,52,1.20
199509,118131780918.01,128933750.00,14.40,34.90,15.00,3.60,49,1.26
199510,119032368542.04,129111875.00,19.20,94.70,17.80,7.00,47,1.39
199511,118876477350.98,129081041.67,19.90,81.00,20.70,9.40,41,1.64
199512,118720586159.92,129050208.33,27.60,75.80,21.80,9.40,37,1.51
199601,118564694968.86,129019375.00,22.80,85.80,23.20,12.50,37,1.45
199602,122019790781.74,129705267.86,22.20,22.40,21.90,8.70,40,1.57
199603,125474886594.61,130391160.71,19.10,19.60,22.80,8.90,42,1.26
199604,128929982407.49,131077053.57,13.30,0.00,17.90,4.60,46,1.07
199605,132385078220.37,131762946.43,9.80,56.60,16.00,4.30,54,1.01
199606,135840174033.25,132448839.29,8.00,30.20,12.90,1.60,60,1.07
199607,139295269846.13,133134732.14,7.80,89.50,10.80,0.10,58,1.13
199608,142750365659.01,133820625.00,11.70,33.10,12.40,1.90,52,1.39
199609,111092407586.77,126485625.00,17.70,112.00,15.30,3.80,49,1.83
199610,158782264027.19,137157187.50,21.00,52.60,18.20,6.80,47,1.32
199611,141868742180.95,133641250.00,24.20,80.00,19.20,6.40,41,1.64
199612,138573540005.25,132976875.00,25.30,74.90,23.20,9.00,37,1.51
199701,123285532730.41,129792187.50,24.70,51.90,23.80,9.00,37,1.51
199702,107997525455.56,126607500.00,23.70,23.30,26.80,13.20,40,1.32
199703,96888373531.28,121209062.50,18.70,32.20,22.60,9.80,42,1.32
199704,85779221606.99,115810625.00,16.00,0.00,21.80,4.60,46,1.13
199705,73493457338.10,109368125.00,9.70,40.00,15.90,4.00,54,1.01
199706,86031569289.16,114532187.50,8.50,133.10,12.90,-1.50,60,0.94
199707,98569681240.22,119696250.00,10.20,0.00,11.60,-0.60,58,0.94
199708,111107793191.28,124860312.50,14.10,36.80,13.30,-0.60,52,1.26
199709,123645905142.34,130024375.00,13.80,89.50,14.80,4.00,49,1.20
199710,99624912667.36,120299062.50,23.60,32.30,19.60,5.00,47,1.45
199711,75603920192.38,110573750.00,24.60,9.30,25.00,8.80,41,1.51
199712,65853162961.87,104764687.50,28.20,16.90,27.90,11.60,37,1.70
199801,53618149370.32,95977812.50,22.30,41.20,26.70,13.00,37,1.57
199802,41383135778.78,87190937.50,25.10,21.80,28.20,12.00,40,1.51
199803,29827192995.62,76695000.00,20.40,2.80,27.10,10.30,42,1.39
199804,29797911387.03,76662343.75,13.40,58.80,20.10,7.60,46,1.13
199805,29768629778.44,76629687.50,9.10,36.90,15.00,5.40,54,1.07
199806,29739348169.85,76597031.25,7.60,93.00,12.00,2.40,60,1.20
199807,29710066561.26,76564375.00,8.40,78.80,11.00,0.20,58,1.20
199808,55157904500.10,94856562.50,10.30,118.50,12.30,3.70,52,1.13
199809,80605742438.95,113148750.00,16.10,90.15,16.40,5.70,49,1.32
199810,77626041946.06,111615625.00,20.40,61.80,17.60,5.10,47,1.39
199811,78407712254.73,112017812.50,22.70,92.70,18.70,7.40,41,1.32
199812,79189382563.41,112420000.00,27.60,16.00,24.90,11.00,37,1.39
199901,71409252186.52,108177500.00,23.60,96.00,27.60,13.50,37,1.39
199902,62137779474.68,102580833.33,23.30,14.00,24.20,11.60,40,1.51
199903,52866306762.83,96984166.67,17.40,18.27,23.60,11.00,42,1.26
199904,43594834050.98,91387500.00,13.70,22.53,18.10,4.60,46,1.01
199905,44469634081.59,91980833.33,10.80,26.80,17.20,2.40,54,0.94
199906,45344434112.21,92574166.67,8.30,30.50,12.70,0.10,60,1.07
199907,46219234142.82,93167500.00,9.50,22.40,12.60,0.50,58,1.13
199908,43434847126.29,90966562.50,12.90,45.00,14.10,-1.10,52,1.01
199909,40650460109.76,88765625.00,15.90,62.60,17.50,3.50,49,1.32
199910,39585954549.60,87578437.50,17.00,104.40,18.60,7.10,47,1.13
199911,38521448989.45,86391250.00,24.00,39.10,18.40,5.00,41,1.39
199912,37331971205.07,85064687.50,24.40,32.95,22.40,9.70,37,1.51
200001,36142493420.68,83738125.00,26.60,26.80,22.40,8.90,37,1.57
200002,25285164301.55,60168645.83,22.60,0.00,27.30,11.70,40,1.39
200003,14427835182.42,36599166.67,16.00,64.70,23.80,12.10,42,1.20
200004,3570506063.28,13029687.50,13.30,46.80,18.30,5.30,46,1.01
200005,6406721019.18,10588750.00,9.50,40.20,14.40,2.30,54,1.13
200006,8010684861.57,20279218.75,8.70,33.60,12.20,-1.20,60,1.07
200007,9614648703.97,29969687.50,8.90,31.60,11.60,-0.50,58,1.01
200008,11218612546.37,39660156.25,11.80,51.80,12.60,0.20,52,1.13
200009,12822576388.76,49350625.00,16.30,91.40,16.80,3.90,49,1.45
200010,12293540129.19,44395520.83,18.90,67.00,17.80,5.30,47,1.39
200011,11764503869.62,39440416.67,18.70,99.60,20.00,9.90,41,1.26
200012,11235467610.05,34485312.50,29.60,26.60,25.30,9.80,37,1.39
200101,8503599150.77,25879765.62,23.90,60.60,27.20,11.80,37,1.45
200102,5771730691.49,17274218.75,21.00,103.00,25.80,12.20,40,1.32
200103,3039862232.22,8668671.88,17.50,45.40,21.80,8.90,42,1.39
200104,307993772.94,63125.00,13.80,9.60,20.20,5.40,46,1.07
200105,232774171.63,47708.33,10.70,1.40,15.50,1.00,54,0.82
200106,157554570.31,32291.67,8.70,33.60,14.20,0.10,60,0.94
200107,82334969.00,16875.00,8.80,39.60,12.00,1.60,58,0.88
200108,295795999.75,60625.00,12.60,80.40,12.90,1.30,52,1.45
200109,4337250823.79,20304687.50,16.90,66.20,17.50,4.40,49,1.13
200110,8378705647.83,40548750.00,21.80,48.40,17.80,4.00,47,1.39
200111,7086526938.05,31327500.00,24.40,42.40,20.70,6.70,41,1.45
200112,8943295519.23,36670625.00,26.80,10.00,24.30,9.40,37,1.51
200201,10800064100.41,42013750.00,27.70,34.00,26.00,11.40,37,1.64
200202,12656832681.59,47356875.00,20.00,170.80,21.20,12.40,40,1.39
200203,14513601262.77,52700000.00,19.50,24.20,23.00,9.30,42,1.20
200204,6833100405.09,23596250.00,14.20,10.80,20.70,7.90,46,0.88
200205,6764046284.48,21489625.00,9.90,33.60,15.40,2.30,54,0.94
200206,6694992163.87,19383000.00,9.10,47.20,13.00,1.60,60,1.13
200207,6625938043.26,17276375.00,10.10,19.80,12.60,-1.10,58,1.07
200208,6556883922.65,15169750.00,13.90,33.20,14.60,-0.80,52,1.07
200209,6487829802.04,13063125.00,17.60,51.20,17.70,2.00,49,1.57
200210,45741649.45,9375.00,22.10,19.20,20.90,4.70,47,1.57
200211,3049443.30,625.00,25.00,8.80,25.20,9.00,41,1.51
200212,247004907.01,50625.00,27.30,35.20,25.80,10.50,37,1.64
200301,490960370.72,100625.00,27.90,12.80,28.30,11.80,37,1.70
200302,1372249483.39,281250.00,22.10,87.20,26.20,13.40,40,1.64
200303,1507034877.09,308875.00,19.30,50.60,21.00,9.80,42,1.32
200304,1641820270.79,336500.00,12.60,27.60,17.60,6.50,46,1.07
200305,1776605664.49,364125.00,10.30,17.20,15.40,4.90,54,1.01
200306,1911391058.19,391750.00,8.30,52.80,12.90,1.70,60,1.13
200307,2046176451.89,419375.00,9.20,40.80,11.50,0.60,58,1.13
200308,7102240612.32,31806875.00,11.50,90.20,12.80,0.00,52,1.32
200309,11926746475.93,42073437.50,18.70,40.00,15.90,2.50,49,1.57
200310,16751252339.54,52340000.00,19.90,91.60,16.90,4.20,47,1.32
200311,21575758203.16,62606562.50,24.50,64.20,21.30,7.30,41,1.32
200312,26400264066.77,72873125.00,26.40,70.60,24.70,11.30,37,1.39
200401,22629669041.03,62462857.14,26.30,36.90,27.50,11.70,37,1.45
200402,18859074015.29,52052589.29,22.70,23.90,28.00,12.90,40,1.45
200403,15088478989.55,41642321.43,20.40,13.20,24.50,9.70,42,1.20
200404,11317883963.81,31232053.57,14.20,8.80,20.90,6.90,46,1.07
200405,7547288938.07,20821785.71,10.90,5.20,16.50,1.40,54,1.01
200406,3776693912.33,10411517.86,8.60,14.60,13.30,0.70,60,1.26
200407,6098886.59,1250.00,8.70,16.00,12.20,-0.40,58,0.94
200408,42692206.15,8750.00,12.50,62.00,14.20,1.90,52,1.26
200409,1906271424.24,462812.50,17.00,31.60,17.10,3.10,49,1.13
200410,3769850642.33,916875.00,20.50,67.40,19.40,6.60,47,1.39
200411,3461995581.62,1034218.75,25.20,84.40,22.00,8.10,41,1.45
200412,3154140520.91,1151562.50,26.70,60.60,23.40,10.60,37,1.45
200501,51840536.04,10625.00,25.90,47.20,26.90,11.40,37,1.51
200502,27444989.67,5625.00,21.40,60.20,24.60,11.30,40,1.39
200503,3049443.30,625.00,19.80,45.40,22.50,8.60,42,1.20
200504,696123993.07,2667375.00,15.30,14.80,22.30,7.30,46,1.01
200505,1389198542.84,5334125.00,11.10,0.80,16.80,2.10,54,0.82
200506,2082273092.61,8000875.00,7.20,60.00,13.80,1.00,60,1.13
200507,2775347642.39,10667625.00,9.00,86.80,13.00,0.50,58,1.01
200508,3468422192.16,13334375.00,13.50,51.80,14.20,-0.50,52,1.26
200509,4161496741.93,16001125.00,15.10,108.80,16.10,4.10,49,1.13
200510,4854571291.71,18667875.00,19.60,94.00,19.50,7.10,47,1.20
200511,5547645841.48,21334625.00,25.20,79.20,21.10,9.50,41,1.39
200512,6240720391.25,24001375.00,25.20,43.00,27.40,8.80,37,1.45
200601,6933794941.02,26668125.00,22.60,92.40,27.60,14.00,37,1.45
200602,6524932102.05,14195000.00,26.10,18.80,27.70,12.10,40,1.32
200603,5614819370.12,11865520.83,19.70,41.00,24.80,10.60,42,1.26
200604,4704706638.18,9536041.67,15.30,16.60,19.40,3.00,46,1.20
200605,3794593906.25,7206562.50,10.10,15.60,15.50,1.60,54,0.94
200606,2884481174.32,4877083.33,7.70,83.00,11.70,-0.40,60,0.88
200607,1974368442.38,2547604.17,8.60,39.20,12.10,1.20,58,1.01
200608,1064255710.45,218125.00,13.40,15.40,14.60,-0.90,52,0.88
200609,240906020.42,49375.00,18.30,17.20,18.20,3.30,49,1.32
200610,359834308.98,73750.00,24.70,5.60,22.20,3.90,47,1.51
200611,478762597.54,98125.00,25.50,12.50,23.90,7.80,41,1.57
200612,597690886.10,122500.00,24.90,19.40,25.00,9.90,37,1.70
200701,1367675318.44,280312.50,28.10,10.40,28.40,12.00,37,1.64
200702,2137659750.79,438125.00,21.70,56.40,25.40,12.90,40,1.51
200703,6152167690.81,2823125.00,18.20,47.00,22.70,11.20,42,1.39
200704,18296659.78,3750.00,13.50,28.00,19.30,6.60,46,1.07
200705,3086520637.19,12077343.75,10.20,43.60,17.60,4.30,54,1.01
200706,6154744614.60,24150937.50,7.30,122.20,10.90,1.10,60,1.20
200707,9222968592.01,36224531.25,9.50,19.20,11.20,0.40,58,1.13
200708,12291192569.42,48298125.00,12.00,17.20,14.10,3.50,52,1.32
200709,10574950679.50,41406517.86,17.50,14.20,16.10,3.20,49,1.39
200710,8858708789.58,34514910.71,22.30,21.20,21.70,6.30,47,1.39
200711,7142466899.66,27623303.57,22.60,80.70,22.00,10.40,41,1.39
200712,5426225009.74,20731696.43,23.50,84.60,22.70,11.50,37,1.32
200801,3709983119.82,13840089.29,25.50,55.60,26.00,12.60,37,1.45
200802,1993741229.90,6948482.14,20.60,63.20,22.10,11.20,40,1.26
200803,277499339.97,56875.00,19.30,38.20,23.40,8.60,42,1.13
200804,318884641.85,65357.14,14.20,20.00,17.90,3.90,46,1.07
200805,360269943.73,73839.29,11.00,9.60,16.70,0.70,54,0.88
200806,401655245.61,82321.43,7.60,27.60,13.30,4.20,60,1.20
200807,443040547.49,90803.57,8.80,48.40,11.70,-1.60,58,1.26
200808,484425849.37,99285.71,12.00,35.80,12.10,-0.80,52,1.32
200809,525811151.25,107767.86,17.90,46.40,17.30,3.60,49,1.45
200810,567196453.13,116250.00,22.10,29.40,21.20,5.50,47,1.45
200811,445218721.28,91250.00,23.00,98.60,21.70,8.80,41,1.70
200812,1316678329.56,343125.00,26.50,111.60,23.50,9.90,37,1.70
200901,2188137937.84,595000.00,30.00,39.60,29.50,11.00,37,1.57
200902,765410267.40,156875.00,21.50,7.00,25.60,12.90,40,1.70
200903,565163490.94,115833.33,18.40,11.40,25.10,9.90,42,1.39
200904,364916714.47,74791.67,12.50,60.60,18.30,7.40,46,1.26
200905,164669938.01,33750.00,9.70,10.00,15.50,3.00,54,1.13
200906,138749669.99,28437.50,7.20,26.10,12.60,2.50,60,1.01
200907,112829401.97,23125.00,9.50,34.00,12.20,1.10,58,1.20
200908,118928288.56,24375.00,12.60,60.70,15.30,1.00,52,1.32
200909,125027175.15,25625.00,16.60,87.40,17.60,3.80,49,1.51
200910,116641206.09,23906.25,18.00,73.40,17.30,6.40,47,1.45
200911,108255237.02,22187.50,23.30,29.60,26.50,10.10,41,1.51
200912,99869267.96,20468.75,27.40,80.40,26.40,10.60,37,1.51
201001,91483298.89,18750.00,28.00,20.40,28.70,13.20,37,1.64
201002,11342653518.99,46419375.00,20.40,227.20,25.10,13.80,40,1.45
201003,7133790884.01,32769375.00,16.90,80.60,22.70,10.70,42,1.07
201004,9729068280.44,38323303.57,14.40,28.40,20.50,6.10,46,0.88
201005,12324345676.87,43877232.14,10.10,87.20,16.00,2.40,54,0.76
201006,14919623073.30,49431160.71,8.60,26.80,12.50,1.00,60,0.88
201007,17514900469.73,54985089.29,8.50,71.40,11.80,-0.20,58,0.82
201008,20110177866.16,60539017.86,11.70,70.00,11.90,1.40,52,1.39
201009,22705455262.59,66092946.43,16.80,66.40,15.80,3.70,49,1.20
201010,25300732659.02,71646875.00,19.40,53.40,18.00,6.60,47,1.20
201011,26430526399.09,72906875.00,20.50,109.00,21.30,8.80,41,1.07
201012,51048384769.50,96048750.00,24.90,103.20,23.10,11.00,37,1.26
201101,43721160443.87,89314791.67,23.10,110.50,26.50,13.70,37,1.26
201102,36393936118.24,82580833.33,19.10,117.80,25.10,13.40,40,1.20
201103,29066711792.61,75846875.00,15.20,50.20,21.40,10.90,42,1.13
201104,26713611771.52,72132500.00,13.10,10.00,17.90,4.50,46,1.01
201105,24360511750.44,68418125.00,10.40,13.00,15.30,-0.20,54,0.94
201106,22007411729.36,64703750.00,8.10,13.80,12.50,1.10,60,1.20
201107,19654311708.27,60989375.00,8.40,30.80,11.60,-0.70,58,1.26
201108,17301211687.19,57275000.00,11.60,66.60,15.20,1.60,52,0.94
201109,14948111666.11,53560625.00,16.40,36.60,16.80,2.60,49,1.39
201110,20262012448.16,59349765.62,18.80,49.60,19.10,5.10,47,1.07
201111,25575913230.21,65138906.25,20.30,121.40,23.30,9.80,41,1.26
201112,30889814012.26,70928046.88,23.80,79.60,20.10,8.80,37,1.26
201201,36203714794.30,76717187.50,25.20,34.60,24.50,10.10,37,1.51
201202,41517615576.35,82506328.12,17.20,166.60,22.90,11.20,40,1.07
201203,46831516358.40,88295468.75,14.30,188.20,20.60,9.80,42,1.20
201204,52145417140.45,94084609.38,13.00,49.00,19.20,6.00,46,0.94
201205,57459317922.50,99873750.00,10.50,33.80,15.20,0.70,54,0.82
201206,55281446373.05,97788786.76,7.70,53.80,11.80,1.20,60,1.01
201207,53103574823.61,95703823.53,9.20,35.60,12.10,-0.90,58,0.94
201208,50925703274.17,93618860.29,12.70,37.20,13.20,-0.40,52,1.26
201209,48747831724.72,91533897.06,17.50,61.40,17.10,1.50,49,1.32
201210,46569960175.28,89448933.82,22.20,56.40,19.50,3.10,47,1.07
201211,44392088625.83,87363970.59,21.90,44.20,22.60,8.40,41,1.26
201212,42214217076.39,85279007.35,26.00,65.20,25.00,10.40,37,1.70
201301,40036345526.95,83194044.12,27.40,65.80,29.30,12.20,37,1.51
201302,37858473977.50,81109080.88,20.10,35.30,23.80,12.00,40,1.51
201303,35680602428.06,79024117.65,19.40,33.80,22.70,9.30,42,1.26
201304,33502730878.61,76939154.41,13.80,9.20,19.80,5.10,46,0.88
201305,31324859329.17,74854191.18,10.50,11.00,16.10,1.30,54,1.01
201306,29146987779.73,72769227.94,7.20,107.40,12.40,1.60,60,0.88
201307,26969116230.28,70684264.71,8.60,44.60,12.90,1.20,58,0.94
201308,24791244680.84,68599301.47,12.60,26.40,14.10,1.50,52,1.39
201309,22613373131.39,66514338.24,16.50,85.60,18.80,4.80,49,1.26
201310,20435501581.95,64429375.00,22.20,12.40,20.50,3.80,47,1.45
201311,10289412708.44,32229375.00,22.40,84.80,21.70,6.50,41,1.39
201312,143323834.93,29375.00,27.10,21.60,26.50,10.70,37,1.45
201401,224642322.84,46041.67,27.20,8.40,29.70,10.40,37,1.57
201402,305960810.74,62708.33,20.60,68.60,26.50,12.10,40,1.45
201403,387279298.64,79375.00,15.60,84.40,23.00,11.80,42,1.01
201404,1704883836.27,5650375.00,12.20,90.80,18.40,8.10,46,0.88
201405,3022488373.89,11221375.00,10.50,23.80,17.00,2.50,54,0.82
201406,4340092911.51,16792375.00,7.40,70.60,12.80,2.50,60,1.13
201407,5657697449.14,22363375.00,9.20,14.20,12.20,0.50,58,1.13
201408,6975301986.76,27934375.00,12.10,56.20,12.70,0.10,52,1.01
201409,8059054929.90,39915625.00,16.40,33.30,16.80,3.80,49,1.20
201410,6554638526.69,15101250.00,20.70,51.00,21.30,6.00,47,1.32
201411,6815030704.04,23045000.00,24.00,34.00,25.20,9.20,41,1.45
201412,7075422881.39,30988750.00,25.10,141.60,25.30,12.10,37,1.57
201501,6584181053.81,16002500.00,22.90,148.30,25.20,13.00,37,1.51
201502,3443037970.08,8032187.50,19.50,21.00,24.40,12.00,40,1.32
201503,301894886.35,61875.00,18.20,12.50,23.50,8.80,42,1.32
201504,7025003908.26,29450625.00,9.70,92.20,17.60,6.90,46,1.26
201505,8694413280.19,34861406.25,10.30,9.10,15.40,2.80,54,1.13
201506,10363822652.11,40272187.50,8.70,44.30,12.70,-1.30,60,0.69
201507,12033232024.04,45682968.75,8.80,37.60,11.30,-0.50,58,1.01
201508,13702641395.96,51093750.00,11.20,59.60,12.80,1.00,52,1.07
201509,7309094846.66,35210625.00,16.90,9.80,15.80,2.60,49,1.07
201510,6884441301.75,25162500.00,20.20,29.00,22.70,8.40,47,1.13
201511,6162841273.62,19134062.50,23.20,55.40,23.60,10.10,41,1.39
201512,5441241245.50,13105625.00,26.80,33.20,26.90,10.00,37,1.45
201601,4719641217.38,7077187.50,19.50,108.80,25.30,13.10,37,1.45
201602,3998041189.26,1048750.00,24.30,29.00,26.30,12.80,40,1.32
201603,335438762.61,68750.00,17.10,56.20,25.30,11.50,42,1.07
201604,5941241345.50,16033750.00,13.90,14.80,21.60,8.40,46,0.94
201605,8190915044.35,31998750.00,10.70,50.00,17.20,4.10,54,1.13
201606,14312645395.96,47963750.00,7.60,199.40,12.10,3.30,60,1.20
201607,25339089617.10,63928750.00,9.20,77.60,12.10,2.90,58,1.20
201608,35340002330.72,79893750.00,11.90,56.00,13.40,1.50,52,0.88
201609,55340915044.35,95858750.00,13.60,125.40,15.40,4.40,49,1.20
201610,81341827757.97,111823750.00,20.60,58.20,17.30,5.10,47,1.45
201611,112342740471.60,127788750.00,26.20,52.20,23.00,8.20,41,1.32
201612,99551315729.05,122895937.50,22.50,55.20,26.60,13.00,37,1.26
201701,93250762201.48,119654531.25,22.80,19.40,29.30,13.70,37,1.26
201702,86950208673.91,116413125.00,21.00,35.00,27.90,12.50,40,1.26
201703,48430587065.36,94486875.00,14.80,82.80,22.10,13.20,42,1.26
201704,36206940980.26,83810000.00,12.80,31.60,18.40,5.60,46,0.94
201705,41353446921.61,89395000.00,10.30,47.00,15.70,2.00,54,0.76
201706,41698888643.56,89702083.33,8.90,1.00,13.00,-0.60,60,0.63
201707,42044330365.50,90009166.67,9.80,15.00,12.70,-2.00,58,0.94
201708,42389772087.45,90316250.00,12.70,58.60,13.10,0.50,52,1.20
201709,34112675500.76,81474375.00,18.00,20.60,18.00,2.40,49,1.57
201710,33762977438.36,81084375.00,20.90,38.40,21.70,6.70,47,1.26
201711,35857803331.42,83420625.00,23.10,69.40,21.90,8.00,41,1.20
201712,22389745632.36,67762500.00,22.80,81.60,26.30,13.20,37,1.13
201801,16838050873.71,50831250.00,23.10,46.20,29.40,13.30,37,1.39
201802,11286356115.07,33900000.00,21.70,79.30,25.90,12.10,40,1.45
201803,5734661356.43,16968750.00,18.30,12.20,23.40,10.10,42,1.39
201804,182966597.78,37500.00,14.20,20.70,23.30,9.10,46,1.01
201805,146373278.23,30000.00,10.60,15.20,17.30,2.20,54,1.07
201806,127640983.69,26160.71,8.40,40.70,12.10,1.90,60,1.07
201807,108908689.16,22321.43,10.80,11.40,13.40,-0.80,58,1.26
201808,90176394.62,18482.14,12.20,34.20,13.40,1.40,52,1.45
201809,71444100.09,14642.86,17.40,27.10,16.90,2.00,49,1.32
201810,52711805.55,10803.57,19.30,34.20,19.80,7.40,47,1.39
201811,33979511.02,6964.29,20.90,53.60,22.10,9.50,41,1.64
201812,15247216.48,3125.00,24.50,111.80,26.80,12.30,37,1.32
